control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,50,5.0,0.7139160991090243,0.7159490586310008,-0.007157024413221524,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,100,10.0,0.11489071000153661,0.11619767438380857,-0.0014787971748781992,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,150,15.0,0.546298951579754,0.5461852280881079,0.00025059451275033506,0.02,True,True,True
untrained,unseen_seastate,untrained,persistence,roll,10,1.0,-3.568484617871192,0.0,-3.568484617871192,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll,20,2.0,-0.34615189372068333,0.0,-0.34615189372068333,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll,30,3.0,0.3260636222558452,0.0,0.3260636222558452,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll,50,5.0,0.6627963564328265,0.0,0.6627963564328265,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll,100,10.0,-0.05441128674421303,0.0,-0.05441128674421303,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll,150,15.0,0.3087764983937259,0.0,0.3087764983937259,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,10,1.0,-2.0606060727469013,0.0,-2.0606060727469013,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch,20,2.0,-0.47643935408155635,0.0,-0.47643935408155635,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch,30,3.0,0.5134947879960806,0.0,0.5134947879960806,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,50,5.0,0.5670344262813982,0.0,0.5670344262813982,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,100,10.0,0.14105082122604662,0.0,0.14105082122604662,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,150,15.0,0.44742568734441635,0.0,0.44742568734441635,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,10,1.0,-1.7967467975040665,0.0,-1.7967467975040665,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave,20,2.0,-0.08500185146424655,0.0,-0.08500185146424655,0.0,True,False,True
