experiment,model,train_seed,regime,observation_mode,threshold_set,rule,group_level,ss,heading_deg,speed_kn,scorable,base_rate,n_true_onsets,n_pred_onsets,n_matched,precision,recall,f1,f1_ci_lo,f1_ci_hi,n_boot,ci_level,bootstrap_seed,false_alarms_per_min,lead_p10,lead_p50,lead_p90,n_realizations,duration_s,n_excluded_true,n_excluded_pred
deep,ar10,0,id,ideal,strict,point,cell,SS5,45.0,12.0,True,0.01650862068965517,11,264,10,0.03787878787878788,0.9090909090909091,0.07272727272727274,0.030047945951836134,0.10228001165501166,1000,0.95,0,3.2844827586206895,0.6699999999999999,1.15,2.3499999999999996,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,90.0,0.0,True,0.09982758620689655,64,1366,57,0.04172767203513909,0.890625,0.07972027972027973,0.06630686198920586,0.0897618965312895,1000,0.95,0,16.926724137931036,0.66,1.8,8.739999999999997,8,4640.0,1,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,90.0,6.0,True,0.07234913793103448,48,1342,44,0.03278688524590164,0.9166666666666666,0.06330935251798561,0.048095390929845765,0.07697414317250983,1000,0.95,0,16.78448275862069,0.63,1.95,5.04,8,4640.0,2,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,90.0,12.0,True,0.08273706896551725,54,1206,52,0.04311774461028192,0.9629629629629629,0.08253968253968255,0.06374501992031872,0.1013458206934116,1000,0.95,0,14.922413793103448,0.4100000000000001,1.6,8.08,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,135.0,0.0,True,0.09935344827586207,62,2572,61,0.023716951788491446,0.9838709677419355,0.0463173880030372,0.037180480247869865,0.05421686746987952,1000,0.95,0,32.4698275862069,0.7,2.6,7.9,8,4640.0,2,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,135.0,6.0,True,0.22625,110,3816,110,0.028825995807127882,1.0,0.05603667855323484,0.05117268243148097,0.062437737641972746,1000,0.95,0,47.922413793103445,0.7,2.1,8.820000000000002,8,4640.0,8,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,135.0,12.0,True,0.2582327586206897,123,3331,114,0.034223956769738814,0.926829268292683,0.06601042269832079,0.05671952086674857,0.0769446864639561,1000,0.95,0,41.599137931034484,0.4,1.35,7.1,8,4640.0,8,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,180.0,0.0,True,0.1505603448275862,87,5978,87,0.014553362328537973,1.0,0.02868920032976093,0.023078695154152916,0.03644659994740014,1000,0.95,0,76.17672413793103,0.76,1.8,8.200000000000003,8,4640.0,5,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,180.0,6.0,True,0.13896551724137932,96,5471,94,0.017181502467556207,0.9791666666666666,0.033770432908209094,0.028495102404274265,0.03876065627139366,1000,0.95,0,69.53017241379311,0.7300000000000001,1.9,7.44,8,4640.0,6,0
deep,ar10,0,id,ideal,strict,point,cell,SS5,180.0,12.0,True,0.1580603448275862,100,4789,92,0.0192106911672583,0.92,0.037635508283902636,0.029904985771108887,0.04401034453685609,1000,0.95,0,60.73706896551724,0.3,1.0,7.79,8,4640.0,5,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,45.0,0.0,True,0.015193965517241378,7,325,7,0.021538461538461538,1.0,0.04216867469879518,0.014176207557368195,0.07792715097402597,1000,0.95,0,4.112068965517241,1.62,2.5,3.3200000000000003,8,4640.0,1,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,45.0,6.0,True,0.0019827586206896553,2,289,1,0.0034602076124567475,0.5,0.006872852233676976,0.0,0.026333570412517764,1000,0.95,0,3.7241379310344827,2.1,2.1,2.1,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,45.0,12.0,True,0.021099137931034483,12,297,11,0.037037037037037035,0.9166666666666666,0.07119741100323625,0.024233973198116633,0.09722222222222222,1000,0.95,0,3.6982758620689653,0.7,1.3,3.6,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,90.0,0.0,True,0.010043103448275862,7,100,6,0.06,0.8571428571428571,0.11214953271028037,0.029380695940348,0.14690132057814287,1000,0.95,0,1.2155172413793103,0.25,1.25,2.55,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,90.0,6.0,True,0.008448275862068965,6,140,5,0.03571428571428571,0.8333333333333334,0.0684931506849315,0.0,0.12282962561041777,1000,0.95,0,1.7456896551724137,0.6000000000000001,2.0,5.86,8,4640.0,1,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,90.0,12.0,True,0.002672413793103448,3,137,2,0.014598540145985401,0.6666666666666666,0.02857142857142857,0.0,0.0625,1000,0.95,0,1.7456896551724137,1.34,1.5,1.66,8,4640.0,1,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,135.0,0.0,True,0.00976293103448276,11,384,11,0.028645833333333332,1.0,0.05569620253164557,0.03786931818181819,0.06780072404146782,1000,0.95,0,4.823275862068965,0.8,1.3,4.6,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,135.0,6.0,True,0.014353448275862069,14,529,13,0.024574669187145556,0.9285714285714286,0.04788213627992634,0.0285117894457967,0.06614979256319736,1000,0.95,0,6.672413793103448,0.4200000000000001,1.4,6.620000000000002,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,135.0,12.0,True,0.019224137931034484,17,971,13,0.013388259526261586,0.7647058823529411,0.026315789473684213,0.012411237527057707,0.039331099542507054,1000,0.95,0,12.387931034482758,0.62,1.4,6.980000000000001,8,4640.0,1,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,180.0,0.0,True,0.05142241379310345,45,2452,44,0.01794453507340946,0.9777777777777777,0.035242290748898675,0.027670060773610693,0.043772644943317514,1000,0.95,0,31.137931034482758,0.4,1.25,9.07,8,4640.0,0,0
deep,ar10,0,id,ideal,strict,point,cell,SS6,180.0,6.0,True,0.07629310344827586,58,3060,55,0.017973856209150325,0.9482758620689655,0.03527902501603592,0.02823026535876225,0.04088058090563549,1000,0.95,0,38.85775862068966,0.6,1.7,7.240000000000002,8,4640.0,0,0
