experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,lstm,pitch,10,1.0,434304,0.0751893339576083,0.052448067346399944,0.8963189522817477,0.992963003799067,1.2413165389175655,0.06057224857663927,384,0.9922254186657747,0.9936708854164237,id,0.018523801867343436,0.028125,0.06934877866544999,7.725,True,32,0,False,317828,,,,,mse
deep,lstm,pitch,20,2.0,434304,0.0802819966316616,0.05350488201394359,1.6396866224861668,0.9976027428479263,1.2413790185919036,0.06467162359705861,384,0.9974496671797749,0.9977544355209903,id,0.010810892136537745,0.021875000000000002,0.05790230535615932,7.725,True,32,0,False,317828,,,,,mse
deep,lstm,pitch,30,3.0,434304,0.10095824055604623,0.06577331648543612,2.1223575061775537,0.9977371984716297,1.2413993725281671,0.08132615723048105,384,0.9975391499212826,0.9979387377711586,id,0.022748080416522175,0.040624999999999994,0.08596843553920228,7.7,True,32,0,False,317828,,,,,mse
deep,lstm,pitch,50,5.0,434304,0.1770488113709133,0.10095781318046078,2.2343246831224586,0.9937209568976408,1.2415168463730468,0.14260685377579987,384,0.9923754290559854,0.9948968398943272,id,0.01711675042335044,0.028125,0.06144625150610521,7.75,True,32,0,False,317828,,,,,mse
deep,lstm,pitch,100,10.0,434304,0.5703051369932163,0.3152149428747387,1.5591545468409598,0.8662061238549649,1.2411836658196425,0.45948488744943555,384,0.84786445974353,0.884111769723355,id,0.6559424101793165,0.653125,1.857553810188587,7.725,True,32,0,False,317828,,,,,mse
deep,lstm,pitch,150,15.0,434304,0.8962812193918148,0.5244581805203337,1.785131912400982,0.747914442362318,1.2405036351372414,0.7225139806161519,384,0.7316304228833941,0.7633712901432493,id,5.5259883674990125,5.528125,3.787666596452542,7.75,False,32,0,False,317828,,,,,mse
deep,lstm,heave,10,1.0,434304,0.03918110102567573,0.026885884212938308,0.44174333995484594,0.9921329257181277,0.7591945699315659,0.05160877405802248,384,0.9913293651616363,0.992825528989595,id,-0.012205997886894845,-0.00625,0.02256284062668857,8.875,True,32,0,False,317828,,,,,mse
deep,lstm,heave,20,2.0,434304,0.03713342422354414,0.0247657225481952,0.8382135080550518,0.9980374501921568,0.7592353662201028,0.04890897589296326,384,0.9978693586208286,0.9981820948564264,id,0.0019165420808915754,0.0,0.01881250639211652,8.850000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,heave,30,3.0,434304,0.04271557214863986,0.029369702568128823,1.1513183823181896,0.9986234830038713,0.7592379733777742,0.05626111133325237,384,0.9985268889535489,0.9987134200089822,id,0.00044709958449190915,-0.009375000000000001,0.02585236563871342,8.850000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,heave,50,5.0,434304,0.07909001188713302,0.05114534704495358,1.4421558821616272,0.996992408350905,0.7593097520603712,0.10416040577975447,384,0.996682595131214,0.9973031020626584,id,-0.0017319281191163242,-0.00625,0.02411027847946477,8.850000000000001,True,32,0,False,317828,,,,,mse
deep,lstm,heave,100,10.0,434304,0.2196325576955712,0.12697204328651793,0.8335183990732865,0.9305674594512764,0.7591324816869609,0.2893204585417013,384,0.9159277761534446,0.9429947182945027,id,0.053124434024891413,0.05,0.08225600480624727,8.875,True,32,0,False,317828,,,,,mse
deep,lstm,heave,150,15.0,434304,0.41183088923788097,0.2525090960639952,1.106452908012778,0.861461026275544,0.758700750262978,0.5428107051365557,384,0.8539398358728837,0.8691730217152854,id,2.9437794915582134,2.9468750000000004,4.051984134514146,8.875,False,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,10,1.0,434304,0.0938219809373104,0.06298511566385703,1.067513758350997,0.9922756448312955,1.9695482829582032,0.04763629394065555,384,0.9911900023904534,0.993147062069587,id,0.03959960463549604,0.028124999999999997,0.16399093219349506,9.0,True,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,20,2.0,434304,0.09840245079549899,0.06845470246388016,2.0483978110523133,0.9976922794154143,1.9698951249631573,0.04995314194573652,384,0.9973690810946908,0.9979304566847534,id,0.25360923741601016,0.25,1.6624181861117355,9.0,True,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,30,3.0,434304,0.0974260453487328,0.06760559219186306,2.8659956780901075,0.9988444224756488,1.9702531268505945,0.049448491679069756,384,0.9986870042674546,0.9989592784007024,id,0.3930528206368733,0.38437499999999997,1.9146996754808159,9.0,True,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,50,5.0,434304,0.10780876506390094,0.06915007049203514,3.798345550151574,0.9991944004790891,1.9711142946671736,0.054694324603893486,384,0.9990573136008469,0.999291135630584,id,-0.0109774325772225,-0.018750000000000003,0.16870811726152285,9.0,True,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,100,10.0,434304,0.28770688197218997,0.17493942592857453,1.958738621708589,0.978425162794243,1.972726817260997,0.1458422319070272,384,0.9750494887663288,0.9812730123457314,id,0.5996999829473757,0.596875,1.7798733131082207,9.0,True,32,0,False,317828,,,,,mse
deep,lstm,roll_rate,150,15.0,434304,0.546956119537662,0.32852265752588833,2.8980935747304644,0.9643811278706009,1.9741281062750022,0.27706212063902874,384,0.9611955424396486,0.9672436090290887,id,3.617714193708131,3.6218749999999997,5.206078213654314,9.025,False,32,0,False,317828,,,,,mse
deep,lstm,pitch_rate,10,1.0,434304,0.07422005006015339,0.05387063500286642,0.7528444431836472,0.9902807671368773,0.9236173504276821,0.08035800759457984,384,0.9896640008530406,0.9908494954651929,id,0.011198474514285751,0.025,0.07146777154413866,7.199999999999999,True,32,0,False,317828,,,,,mse
deep,lstm,pitch_rate,20,2.0,434304,0.07882756636248557,0.05561051288346741,1.3414123591158549,0.9965467212923365,0.9237371608217294,0.08533549336952395,384,0.9962775239583085,0.9968118008949013,id,0.04259406150759537,0.053125,0.12382752051006675,7.199999999999999,True,32,0,False,317828,,,,,mse
deep,lstm,pitch_rate,30,3.0,434304,0.08442300567795785,0.0539116378368273,1.664055642972382,0.9974261340073045,0.9238676654473805,0.09137997663017704,384,0.9972279329121329,0.9976380862911225,id,0.008296513916317846,0.018750000000000003,0.06537717861980033,7.199999999999999,True,32,0,False,317828,,,,,mse
deep,lstm,pitch_rate,50,5.0,434304,0.1892206614329015,0.09492161057400653,1.549273352583568,0.9850830164669794,0.923797316378609,0.20482919583991446,384,0.9820118559550141,0.9880123564135012,id,0.034685131191304217,0.034375,0.07651089608797666,7.199999999999999,True,32,0,False,317828,,,,,mse
