experiment,model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
probabilistic,dlinear_quantile,quantile,384,roll,50,5.0,434304,9,0.1,0.962634468022399,4.187953759186441,4.841031131144837,0.3424459470749907,0.17122297353749527,0.12581049218980253,0.9546884210138521,0.9710644502468317,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,100,10.0,434304,9,0.1,0.9598345859121721,8.816169968304079,10.179691415372414,0.7799081285161822,0.3899540642580911,0.00017729516651930445,0.952130017222959,0.9687850560897436,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,150,15.0,434304,9,0.1,0.9422248010610079,10.940843410419046,13.82552909780481,1.1549899976601183,0.577494998830059,0.0,0.931717299403183,0.9540373793471854,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,10,1.0,434304,9,0.1,0.8553985226937814,0.0752500249436089,0.17460834105558012,0.016385007348723845,0.008192503674361922,0.5781963785735338,0.8354639261899499,0.8741002845932803,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,20,2.0,434304,9,0.1,0.8462482500736811,0.48664599061673336,1.0723446675697927,0.09867209955556544,0.049336049777782734,0.419245505452402,0.8269563485484821,0.8647129084696433,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,30,3.0,434304,9,0.1,0.8586013483642794,1.1662560339465986,2.2536355083497916,0.21352857718975243,0.10676428859487623,0.21731091585617449,0.841127010112732,0.875108622071176,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,50,5.0,434304,9,0.1,0.861108808576481,1.4316844224202336,2.6838201439971043,0.25560539685581457,0.12780269842790742,0.15160118258178604,0.844143215351459,0.8774658418987622,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,100,10.0,434304,9,0.1,0.8577816460359564,3.012704344788708,5.503619258344573,0.5531633825260079,0.2765816912630039,0.0009302239905688181,0.8414981786951076,0.8741258427276746,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,150,15.0,434304,9,0.1,0.8757575338933098,3.7386938389693993,6.217639731016434,0.6275955009260558,0.3137977504630278,0.0,0.8611839863321544,0.8904328534851164,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,10,1.0,434304,9,0.1,0.9287112253168288,0.04450398150882986,0.06449375252676494,0.005015924226953119,0.00250796211347656,0.5588527851458885,0.9159615729995579,0.9415960939802535,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,20,2.0,434304,9,0.1,0.9117346374889478,0.29233729261900254,0.47080069942412345,0.03662442811871727,0.01831221405935863,0.3091382994400236,0.8974188586796346,0.9263476735190097,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,30,3.0,434304,9,0.1,0.9007469422340112,0.7063953124867498,1.2582511658853206,0.1050404844412274,0.05252024222061372,0.1325684313292072,0.8847466866526672,0.9169503389330975,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,50,5.0,434304,9,0.1,0.9016080901856764,0.8716053893114,1.5285341104396537,0.14175672883485738,0.0708783644174287,0.1520179413498379,0.8858903556034483,0.9175987902483054,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,100,10.0,434304,9,0.1,0.9013548113763631,1.8302345456451916,2.8137145907292944,0.28372094161961553,0.14186047080980774,0.0034837348953728263,0.8876348134025935,0.9154195563476275,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,150,15.0,434304,9,0.1,0.886185713233127,2.2705324520572807,3.713441170615758,0.3788882792475407,0.18944413962377035,0.0003085396404361922,0.8710266311155319,0.9016578824970528,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,10,1.0,434304,9,0.1,0.9705229516651931,0.11473588934463133,0.12559699343621805,0.008341966255025219,0.004170983127512609,0.4118175287356322,0.9643751266394047,0.9773470886752137,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,20,2.0,434304,9,0.1,0.9671911840554082,0.7536234756901851,0.837632965413218,0.052995531384477705,0.026497765692238863,0.22077853300913647,0.96061681448939,0.9744158469643384,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,30,3.0,434304,9,0.1,0.9633252284114353,1.8209946081061932,2.0698177547932732,0.1413998837764862,0.07069994188824308,0.10364168877099912,0.9561881193818155,0.9715687628941939,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,50,5.0,434304,9,0.1,0.9645685971117005,2.2402407572920864,2.5233012898290466,0.18507902065189816,0.09253951032594906,0.12979387709991158,0.9573522808908046,0.9722732233642793,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,100,10.0,434304,9,0.1,0.957755397141173,4.716660200101579,5.433951587289315,0.4390033031652029,0.21950165158260143,0.00016347995873857942,0.9501073556771293,0.9663610051945182,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,150,15.0,434304,9,0.1,0.9398647030651341,5.853376163965315,7.382601257075574,0.6430120624373468,0.3215060312186733,0.0,0.9295029518493958,0.9514497909298556,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,10,1.0,434304,9,0.1,0.7976210212201591,0.06244700232733306,0.3099772456251421,0.025179992992485953,0.012589996496242983,0.5997872458001768,0.7715045221780136,0.8228538650346301,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,20,2.0,434304,9,0.1,0.7893802497789567,0.38156091231800915,1.649944152336986,0.13520939980598892,0.06760469990299442,0.4621325154730327,0.7634488169577069,0.8138690295277041,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,30,3.0,434304,9,0.1,0.807851182581786,0.8867931675859132,2.780799142679201,0.2465269680458346,0.12326348402291741,0.2728296308576481,0.7844255406351311,0.8297592239537283,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,50,5.0,434304,9,0.1,0.8133841732979664,1.0696133525967484,3.0293845902833727,0.2646836836430321,0.13234184182151598,0.1689899241084586,0.7907774277925139,0.8348306716033009,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,100,10.0,434304,9,0.1,0.8317699123194813,2.2464017934057154,4.961833431676765,0.48719476544287105,0.2435973827214354,0.008178603006189214,0.8116491558908047,0.850661690889331,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,150,15.0,434304,9,0.1,0.8733513852048335,2.7873828148168416,4.741029347205925,0.4797480012242375,0.23987400061211883,0.0,0.8578879080091365,0.8886550664972002,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,10,1.0,434304,9,0.1,0.9290727232537578,0.026427645614105502,0.03462596432417754,0.0031522664626715716,0.0015761332313357853,0.6088822575891542,0.9187169586280578,0.9398351154951371,id,2,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,20,2.0,434304,9,0.1,0.9122642204538757,0.1735401113283573,0.245623386254066,0.02173631837915119,0.010868159189575602,0.3606920498084291,0.900654437905246,0.9244568896441202,id,2,False,542700,,,,,pinball
