control,experiment,arm,regime,dof,horizon_samples,horizon_s,rmse_pipeline,rmse_raw,rel_diff,max_rel_diff,rtol,n_windows,model_matches_inline,asserted,enforced,passed
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch_rate,10,1.0,0.5015508585238264,0.501550859181904,1.3120854652559379e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave_rate,10,1.0,0.2165923212769548,0.21659232337869078,9.703649450324804e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll,20,2.0,1.9285880150347257,1.9285880231611507,4.213665640775927e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch,20,2.0,1.285324714500078,1.28532473398441,1.5159073526354943e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave,20,2.0,0.6907853865726672,0.6907853787310788,1.1351699992603257e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll_rate,20,2.0,0.9249828294617478,0.9249828255702909,4.207058581946215e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch_rate,20,2.0,0.9238665684894539,0.9238665699857463,1.6195979721623692e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave_rate,20,2.0,0.41104269243891206,0.4110426972905112,1.1803151240556677e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll,30,3.0,2.7551118596063513,2.7551118747080987,5.481355420368455e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch,30,3.0,1.722301747335977,1.722301774932395,1.602298647152284e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave,30,3.0,0.9600670354578814,0.9600670236474674,1.2301655706555834e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll_rate,30,3.0,1.3131457237685702,1.3131457166427258,5.426545027494936e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch_rate,30,3.0,1.207871647562732,1.2078716496726878,1.7468377258734064e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave_rate,30,3.0,0.56453924728667,0.5645392543863705,1.2576097125239132e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll,50,5.0,3.9136090796008887,3.9136091056248388,6.6496038320682234e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,pitch,50,5.0,1.990987496051927,1.990987529877478,1.6989333443441595e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,heave,50,5.0,1.2447905707524904,1.2447905542554094,1.3252897026070486e-08,6.203957677473511e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_vessel,roll_rate,50,5.0,1.8318743925622176,1.8318743805282307,6.569220600486595e-09,6.203957677473511e-08,1e-06,434304,True,True,True,True
