regime,grid_kind,ss,heading_deg,speed_kn,model,record,threshold_set,rule,scorable,base_rate,always_yes_sample_f1,n_onsets_true,n_onsets_pred,n_matched,precision,recall,f1,false_alarms_per_min,lead_p10,median_lead_time_s,lead_p90,n_onsets_true_raw,n_excluded_true,n_excluded_pred,n_windows,duration_s,peak_roll_deg,peak_pitch_deg,peak_heave_rate_mps,roll_limit_deg,pitch_limit_deg,heave_rate_limit_mps,sustain_s,n_records
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,102,0,,,,10.551724137931034,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,309,10,0.032362459546925564,0.7692307692307693,0.062111801242236024,30.93103448275862,0.59,2.05,6.31,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,94,0,,,,9.724137931034482,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,301,13,0.04318936877076412,0.7647058823529411,0.08176100628930819,29.79310344827586,0.34,0.9,10.02,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,112,0,,,,11.586206896551724,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|2,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,270,7,0.025925925925925925,0.6363636363636364,0.0498220640569395,27.20689655172414,0.5800000000000001,1.1,5.460000000000001,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,0,0,0.0,0.0,0.0,0.0,,,,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,0,0,0.0,0.0,0.0,0.0,,,,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,persistence|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,0,0,0.0,0.0,0.0,0.0,,,,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,13,0,0.0,0.0,0.0,1.3448275862068966,,,,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,17,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.6551724137931034,0.6,0.6,0.6,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,rate_matched,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,11,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0344827586206897,0.2,0.2,0.2,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,tcn|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,108,0,,,,11.172413793103448,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,tcn|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,194,8,0.041237113402061855,0.6153846153846154,0.07729468599033816,19.24137931034483,0.47000000000000003,2.1500000000000004,7.3599999999999985,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
