regime,model,seed,dof,horizon_samples,gamma,gamma_realization,alpha,n_windows_total,n_windows_used,n_realizations,window_stride,order_index,n_degenerate_cells,fitted_on,norm_stats_fitted_on,calibration_time_s
id,dlinear_gaussian,0,roll_rate,100,0.6466119289398193,0.4662463963031769,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,100,1.3505494594573975,0.9231921434402466,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,100,1.011377215385437,0.6671580076217651,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll,150,0.7299761176109314,0.589095950126648,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch,150,1.1445066928863525,0.7943297028541565,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave,150,1.0692601203918457,0.7379738688468933,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,roll_rate,150,0.7747222781181335,0.5935817956924438,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,pitch_rate,150,1.161329984664917,0.8055002093315125,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,0,heave_rate,150,1.096663475036621,0.7210046052932739,0.1,271440,24677,240,11,22211,0,id/val,id/train,18.160919461002777
id,dlinear_gaussian,1,roll,10,0.2995299994945526,0.23587490618228912,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,10,0.8984752297401428,0.6594773530960083,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,10,0.5875049233436584,0.39694294333457947,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll_rate,10,0.3280261754989624,0.22408665716648102,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch_rate,10,1.3638912439346313,1.0274865627288818,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave_rate,10,0.6238124370574951,0.43437251448631287,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll,20,0.43162548542022705,0.3934294581413269,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,20,0.9816653728485107,0.7299132943153381,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,20,0.7034249305725098,0.5098213851451874,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll_rate,20,0.43920350074768066,0.3403436839580536,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch_rate,20,1.4128121137619019,1.1279313564300537,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave_rate,20,0.7103835940361023,0.47206398844718933,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll,30,0.5335849523544312,0.4755204916000366,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,30,1.0417932271957397,0.703499972820282,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,30,0.8375954031944275,0.59456005692482,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll_rate,30,0.5446521043777466,0.42907318472862244,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch_rate,30,1.3631658554077148,1.0267009735107422,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave_rate,30,0.8263915181159973,0.5431366562843323,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll,50,0.5247213840484619,0.43496185541152954,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,50,1.0736088752746582,0.7557201981544495,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,50,0.8690212965011597,0.5985848903656006,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll_rate,50,0.5552544593811035,0.4310063272714615,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch_rate,50,1.3807123899459839,1.0408225059509277,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave_rate,50,0.8752310276031494,0.5731140971183777,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll,100,0.6043477058410645,0.47704628109931946,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,100,1.185567021369934,0.8318618535995483,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,100,0.9544067978858948,0.6322631239891052,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll_rate,100,0.646909773349762,0.47595275938510895,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch_rate,100,1.3494133949279785,0.9265967607498169,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave_rate,100,1.0077711343765259,0.6591656804084778,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,roll,150,0.7308089137077332,0.5896856784820557,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,pitch,150,1.1449661254882812,0.7958150804042816,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
id,dlinear_gaussian,1,heave,150,1.0695010423660278,0.7391573786735535,0.1,271440,24677,240,11,22211,0,id/val,id/train,19.185901185002876
