model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar40,id,pitch_rate,50,5.0,1,True,434304,0.3981352479682078,,0.2560269293750061,,1.549273352583568,0.9339602903990931,,0.9257327195467167,0.9408081534887079,216900,0.19142483600444393
ar40,id,pitch_rate,100,10.0,1,True,434304,0.8036029342174786,,0.5371698318775319,,1.2730898977022085,0.6015582087792997,,0.5877027847906046,0.6146248948478864,216900,0.19142483600444393
ar40,id,pitch_rate,150,15.0,1,True,434304,0.9049963332238543,,0.5818818881049908,,1.3079980284130317,0.521282327399921,,0.5054491842882219,0.535276530620509,216900,0.19142483600444393
ar40,id,roll,10,1.0,1,True,434304,0.005767045108185407,,0.003900599124952897,,1.9446628367671026,0.9999912053599905,,0.9999888377062167,0.9999928602145278,216900,0.19142483600444393
ar40,id,roll,20,2.0,1,True,434304,0.0457040386782105,,0.03155560591188584,,3.7444545258092843,0.9998510186052567,,0.9998142618753848,0.9998770026379773,216900,0.19142483600444393
ar40,id,roll,30,3.0,1,True,434304,0.15739323312374506,,0.11080298215066983,,5.26736094690192,0.9991071346810448,,0.998913753916145,0.9992457990110339,216900,0.19142483600444393
ar40,id,roll,50,5.0,1,True,434304,0.5488369715516744,,0.3888660322461449,,7.0875605548865055,0.9940035646793668,,0.992924026318676,0.9947287836975306,216900,0.19142483600444393
ar40,id,roll,100,10.0,1,True,434304,0.9864452654572515,,0.6977960280868372,,3.793711335438843,0.9323889904151378,,0.9210094015389516,0.9404610066203654,216900,0.19142483600444393
ar40,id,roll,150,15.0,1,True,434304,1.5426954940287665,,1.0585575522742394,,5.251935256462554,0.9137177037188163,,0.9033403674543794,0.9219294303644414,216900,0.19142483600444393
ar40,id,roll_rate,10,1.0,1,True,434304,0.016162966392176622,,0.01098905565916758,,1.067513758350997,0.9997707574779541,,0.999714753663955,0.9998109532044479,216900,0.19142483600444393
ar40,id,roll_rate,20,2.0,1,True,434304,0.07187037547848543,,0.0501690726172705,,2.0483978110523133,0.998768962673559,,0.9985035943237622,0.998960840318022,216900,0.19142483600444393
ar40,id,roll_rate,30,3.0,1,True,434304,0.15738059240475546,,0.11196031892572428,,2.8659956780901075,0.9969845558500948,,0.9964213933511555,0.9973833976969834,216900,0.19142483600444393
ar40,id,roll_rate,50,5.0,1,True,434304,0.25901913026806583,,0.18044353235308522,,3.798345550151574,0.9953497667377543,,0.9946360260594146,0.9958639704649138,216900,0.19142483600444393
ar40,id,roll_rate,100,10.0,1,True,434304,0.6481561448660396,,0.44806944001016163,,1.958738621708589,0.8905019684004447,,0.8768172252338484,0.9012345522935238,216900,0.19142483600444393
ar40,id,roll_rate,150,15.0,1,True,434304,0.980012541445952,,0.6617804505163526,,2.8980935747304644,0.8856493970407177,,0.874510005014883,0.894659798876644,216900,0.19142483600444393
ar_attitude_only,id,heave,10,1.0,1,True,434304,0.005749726689388351,,0.003894160205044353,,0.44174333995484594,0.9998305840164613,,0.9998075570379198,0.9998510344121647,108900,0.052615476997743826
ar_attitude_only,id,heave,20,2.0,1,True,434304,0.029929941458136645,,0.02031224295626449,,0.8382135080550518,0.9987250227835954,,0.9985593210141386,0.9988721910337918,108900,0.052615476997743826
