reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
B,dlinear_quantile,quantile,id,roll,10,1.0,3,0.9726650763827488,0.0034655787750274,0.9619367424661068,0.9810226247052756,0.85,0.95,FAIL,0.2271936179897972,0.0187524817213108,0.3779633620689655,542700
B,dlinear_quantile,quantile,id,roll,20,2.0,3,0.9667583075449456,0.0026808870588418,0.9571054491784556,0.9769220407824932,0.85,0.95,FAIL,1.4342212417394016,0.1183519972548147,0.1972957498280774,542700
B,dlinear_quantile,quantile,id,roll,30,3.0,3,0.9608975893997446,0.0001141168621955,0.9523969385499558,0.9697954658488064,0.85,0.95,FAIL,3.4218405392670364,0.2823061915854183,0.056575578396699,542700
B,dlinear_quantile,quantile,id,roll,50,5.0,3,0.9624364500442087,0.0002550622278695,0.9541803091843502,0.9710644502468316,0.85,0.95,FAIL,4.173396812062102,0.3441747640445503,0.0512881913743982,542700
B,dlinear_quantile,quantile,id,roll,100,10.0,3,0.959621217703114,0.0002321034093509,0.951597959033304,0.9687850560897436,0.85,0.95,FAIL,8.808554880329238,0.7256250912301239,0.0004090836526181,542700
B,dlinear_quantile,quantile,id,roll,150,15.0,3,0.9422332436879852,9.8130485450213e-05,0.9316048781498674,0.9541252210433244,0.85,0.95,PASS,10.93871965952281,0.9002111585645854,0.0,542700
B,dlinear_quantile,quantile,id,roll_rate,10,1.0,3,0.9739422155909224,0.0029898738000715,0.9643751266394048,0.9817480958038608,0.85,0.95,FAIL,0.1215498651890943,0.0187599033745629,0.4106094655663621,542700
B,dlinear_quantile,quantile,id,roll_rate,20,2.0,3,0.9687262071421556,0.0029341097996466,0.9601770303750368,0.978602833499116,0.85,0.95,FAIL,0.7672861806706909,0.1184014493103938,0.215689163965026,542700
B,dlinear_quantile,quantile,id,roll_rate,30,3.0,3,0.9635347590627764,0.0002009546909414,0.9561881193818156,0.971834935897436,0.85,0.95,FAIL,1.830673174642648,0.2824434709312359,0.0611138741526672,542700
B,dlinear_quantile,quantile,id,roll_rate,50,5.0,3,0.9642723376559582,0.0002710772106639,0.956750628591954,0.9722732233642792,0.85,0.95,FAIL,2.232449428446292,0.3442806146740005,0.0512122077316042,542700
B,dlinear_quantile,quantile,id,roll_rate,100,10.0,3,0.9576594581982512,0.0001087891773819,0.9498544222480106,0.9663610051945182,0.85,0.95,FAIL,4.7125856439969445,0.7261645690545233,0.0003284949405639,542700
B,dlinear_quantile,quantile,id,roll_rate,150,15.0,3,0.9398693081343944,0.0001105935930456,0.9293833351753612,0.9515179459549072,0.85,0.95,PASS,5.852239654834129,0.9011342953965712,0.0,542700
B,lstm_gaussian,gaussian,id,heave,10,1.0,3,0.9934554290696532,0.0007808591680627,0.9914180504899792,0.9949093261862658,0.85,0.95,FAIL,0.0301433171219693,0.0120692614954004,0.0,433928
B,lstm_gaussian,gaussian,id,heave,20,2.0,3,0.9909272460457806,0.0003223575893179,0.9893807102858828,0.9923280697391688,0.85,0.95,FAIL,0.0342384879999503,0.013708214619618,0.0,433928
B,lstm_gaussian,gaussian,id,heave,30,3.0,3,0.97694702328323,0.0009248310274913,0.9737434492889774,0.9795954561781608,0.85,0.95,FAIL,0.0489591263098243,0.0196019142667925,0.0,433928
B,lstm_gaussian,gaussian,id,heave,50,5.0,3,0.939813279791728,0.004274003788462,0.932182296271736,0.9464870804781904,0.85,0.95,PASS,0.1511431787546298,0.0605079336011432,0.0,433928
B,lstm_gaussian,gaussian,id,heave,100,10.0,3,0.920979314028883,0.0013193523430592,0.915993232850722,0.9260105248857944,0.85,0.95,PASS,0.5193563668682172,0.2079651833186939,0.0,433928
B,lstm_gaussian,gaussian,id,heave,150,15.0,3,0.9098173936536006,0.0012229956272609,0.9054182669282346,0.9139061578986148,0.85,0.95,PASS,1.0591005866672158,0.4243355744164711,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,10,1.0,3,0.9894766492288044,0.0006214469447517,0.987586690428824,0.9913793679081934,0.85,0.95,FAIL,0.0214805084525079,0.0145244401972936,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,20,2.0,3,0.982423218145201,0.0018085472701331,0.9785702526340996,0.9855817583996462,0.85,0.95,FAIL,0.026105882732635,0.0176501811551703,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,30,3.0,3,0.963827948472345,0.0003749692549975,0.9601222876142056,0.9667998107316534,0.85,0.95,FAIL,0.0434630902893149,0.0293825306464942,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,50,5.0,3,0.9350362879457706,0.0030441937392365,0.9278785712312112,0.9404915105548188,0.85,0.95,PASS,0.0940157680583296,0.0635659198385566,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,100,10.0,3,0.9177196925041752,0.001929917352514,0.9120097903772472,0.9218873761236368,0.85,0.95,PASS,0.3793808417321777,0.256624760868567,0.0,433928
B,lstm_gaussian,gaussian,id,heave_rate,150,15.0,3,0.9088948447784656,0.0003494723720335,0.905289324988948,0.912325180058208,0.85,0.95,PASS,0.7241456603343875,0.4901031251697652,0.0,433928
B,lstm_gaussian,gaussian,id,pitch,10,1.0,3,0.9896132662835248,0.0013204609515676,0.9869971840001474,0.9921693675397878,0.85,0.95,FAIL,0.0594899293239626,0.014568124982041,0.0,433928
B,lstm_gaussian,gaussian,id,pitch,20,2.0,3,0.9780606825326652,0.001576646752251,0.9734792910035368,0.9811820752284114,0.85,0.95,FAIL,0.0907338762002894,0.0222181457458388,0.0,433928
