model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
lstm_quantile,quantile,unseen_heading,heave,30,3.0,0.950152427792514,0.0963042784163473,-0.8538481493761667,0.057540683699492,0.106996356362716,0.049455672663223996,0.023037738492154,0.0417199774692383
lstm_quantile,quantile,unseen_heading,heave,50,5.0,0.9302930666077218,0.29741010904804,-0.6328829575596818,0.131396480656112,0.3180860193721247,0.1866895387160127,0.0526026354114931,0.1240042181394712
lstm_quantile,quantile,unseen_heading,heave,100,10.0,0.9171801318891836,0.5463079624717556,-0.37087216941742795,0.4602181055715102,1.1128851128856008,0.6526670073140906,0.184284527537229,0.4337969805639936
lstm_quantile,quantile,unseen_heading,heave,150,15.0,0.9083092334708714,0.7203599322133805,-0.18794930125749099,0.962114381264522,2.0201419604939588,1.058027579229437,0.3854774171289448,0.7873673804920397
lstm_quantile,quantile,unseen_heading,heave_rate,10,1.0,0.9862600083505256,0.1294104283328421,-0.8568495800176835,0.0329597072948698,0.0557175036839371,0.022757796389067303,0.0222863112660048,0.037719919046448
lstm_quantile,quantile,unseen_heading,heave_rate,20,2.0,0.9796778293545536,0.1017517683465959,-0.8779260610079577,0.0337128704122268,0.0590872076685354,0.025374337256308603,0.0227932637302751,0.0399970501316401
lstm_quantile,quantile,unseen_heading,heave_rate,30,3.0,0.9624134246979074,0.1669847234502407,-0.7954287012476666,0.0452845009821184,0.0909330129071479,0.04564851192502951,0.0306138663647993,0.0615480354031993
lstm_quantile,quantile,unseen_heading,heave_rate,50,5.0,0.9346387169663032,0.2023074467039984,-0.7323312702623048,0.083031697676118,0.190801871964181,0.107770174288063,0.0561393726557102,0.1291369314426056
lstm_quantile,quantile,unseen_heading,heave_rate,100,10.0,0.920343046959426,0.5325289812358778,-0.38781406572354826,0.3434207746497524,0.7794939672282851,0.4360731925785327,0.2323002758109909,0.5275786346522834
lstm_quantile,quantile,unseen_heading,heave_rate,150,15.0,0.906887034581,0.7206245701935358,-0.1862624643874642,0.6631336923279854,1.3517661254894116,0.6886324331614262,0.448810112133013,0.9149412774533788
lstm_quantile,quantile,unseen_heading,pitch,10,1.0,0.9884090406719718,0.1352662344041654,-0.8531428062678064,0.08545277894197,0.1468443324450894,0.06139155350311941,0.0209260084494318,0.4783375924774195
lstm_quantile,quantile,unseen_heading,pitch,20,2.0,0.981353307053738,0.1199681943216425,-0.8613851127320955,0.0989141008029935,0.2018875799560303,0.1029734791530368,0.0242212500996677,0.6576724491850824
lstm_quantile,quantile,unseen_heading,pitch,30,3.0,0.9645256164652716,0.14627849002849,-0.8182471264367815,0.1414086530080477,0.3273605488935263,0.18595189588547859,0.0346263896173077,1.0664586848848263
lstm_quantile,quantile,unseen_heading,pitch,50,5.0,0.9418832584242068,0.3627087631397976,-0.5791744952844092,0.2966819700554334,0.7439605211408562,0.4472785510854228,0.0726409114492381,2.423899387810536
lstm_quantile,quantile,unseen_heading,pitch,100,10.0,0.911991753855978,0.611451886236369,-0.30053986761960894,1.1582297468354632,2.6073983942083507,1.4491686473728875,0.2836621633459281,8.497653275935148
lstm_quantile,quantile,unseen_heading,pitch,150,15.0,0.9104874312309658,0.8009553983691915,-0.10953203286177426,2.0458981734161124,3.889250287463229,1.8433521140471165,0.501335802932382,12.673132334310305
lstm_quantile,quantile,unseen_heading,pitch_rate,10,1.0,0.9858655074172316,0.2092420670006876,-0.776623440416544,0.0807933542880761,0.1651631526033712,0.08436979831529509,0.0265904877651764,0.76341427284909
lstm_quantile,quantile,unseen_heading,pitch_rate,20,2.0,0.979054609981334,0.1903428627566558,-0.7887117472246782,0.1028994716975944,0.2186088895733976,0.1157094178758032,0.0338616001780279,1.0105126829999966
lstm_quantile,quantile,unseen_heading,pitch_rate,30,3.0,0.9658580165045684,0.2206147460457805,-0.7452432704587879,0.1259872108253047,0.2660095154001802,0.1400223045748755,0.041453331694243,1.2297448836513407
lstm_quantile,quantile,unseen_heading,pitch_rate,50,5.0,0.9334291187739464,0.3517554524020041,-0.5816736663719423,0.3229481413216862,0.8459170433796489,0.5229689020579626,0.1062671028529267,3.91136538435484
lstm_quantile,quantile,unseen_heading,pitch_rate,100,10.0,0.9126341610177816,0.6830625552608312,-0.22957160575695046,1.090495177597517,2.3701296298588668,1.2796344522613499,0.358868490048639,10.961847148739826
lstm_quantile,quantile,unseen_heading,pitch_rate,150,15.0,0.9043964596227528,0.8434331712348954,-0.06096328838785747,1.723172147747983,3.234052193591788,1.510880045843805,0.5672549134201309,14.95633718014188
